# target name        accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
OQ555808             -          A.v.I2               -                2    1852   59511   61403   59510   61411   62663    +       3e-95  327.8 102.4  Mycobacterium phage Nanz197, complete genome.
EU982300             -          Bu.xe.I1             -               22     183    5213    5373    5193    5395   22689    +         5.9   12.1  10.1  Pseudomonas phage DVM-2008, genomic sequence.
OQ555808             -          Bu.xe.I2             -                2    1845   59511   61402   59510   61410   62663    +     7.1e-75  260.1 102.1  Mycobacterium phage Nanz197, complete genome.
KT887559             -          Bu.xe.I2             -              680    1162    1360    1833    1296    1860   32637    +     2.1e-15   63.2   9.8  Pseudomonas phage phi3, complete genome.
NC_030940            -          Bu.xe.I2             -              680    1162    1360    1833    1296    1860   32637    +     2.1e-15   63.2   9.8  Pseudomonas phage phi3, complete genome.
MK448228             -          Bu.xe.I2             -              689    1147    1962    1501    1985    1468   46342    -     7.2e-14   58.1   8.4  Klebsiella phage ST15-VIM1phi2.1, complete genome.
ON470622             -          Bu.xe.I2             -              689    1147   41192   41653   41169   41686   46650    +     7.2e-14   58.1   8.4  Escherichia phage vB_EcoS-716R3, partial genome.
ON470608             -          Bu.xe.I2             -              689    1147    5459    4998    5482    4965   46651    -     2.5e-13   56.3   8.2  Escherichia phage vB_EcoS-733R5, complete genome.
MT835550             -          Bu.xe.I2             -              561    1297   10366   11127   10345   11176   34009    +     3.4e-12   52.5  16.0  UNVERIFIED: Bacteriophage sp. clone scaffold_153 genomic sequence.
LC727904             -          Bu.xe.I2             -              608    1168    6095    5523    6132    5501   60207    -     5.9e-11   48.5   4.5  StxXX-converting phage Stx1_JNE110649 DNA, complete genome.
MT836320             -          Bu.xe.I2             -                2     192   10510   10697   10509   10719   11107    +       0.027   19.8   4.3  UNVERIFIED: Bacteriophage sp. clone scaffold_1927 genomic sequence.
AFYI01000007         -          Bu.xe.I2             -               22     104  178159  178077  178171  178057  501190    -        0.12   17.6   3.1  Salmonella enterica subsp. enterica serovar Infantis str. SARB27 SEENIN0B_Contig0.7, whole genome shotgun sequence.
KT898134             -          Bu.xe.I2             -              678    1202   37713   38234   37690   38264   60012    +        0.55   15.4  10.2  Aeromonas phage phiARM81mr, complete genome.
OQ555808             -          c-Acb.ph.I1          -                2    1898   59511   61409   59510   61409   62663    +     9.5e-74  255.9  97.1  Mycobacterium phage Nanz197, complete genome.
EU982300             -          c-Acb.ph.I1          -               21     225    5211    5412    5197    5432   22689    +     1.3e-29  109.8  10.2  Pseudomonas phage DVM-2008, genomic sequence.
EU982300             -          c-Acb.ph.I1          -             1505    1898    5466    5880    5452    5880   22689    +     3.3e-20   78.6   4.8  Pseudomonas phage DVM-2008, genomic sequence.
LC727904             -          c-Acb.ph.I1          -              695    1194    6038    5527    6079    5506   60207    -     2.6e-16   65.7   3.1  StxXX-converting phage Stx1_JNE110649 DNA, complete genome.
MT837010             -          c-Acb.ph.I1          -                8     204    5955    5751    5962    5730   20244    -     5.5e-09   41.5   7.9  UNVERIFIED: Bacteriophage sp. clone scaffold_3628 genomic sequence.
MT836484             -          c-Acb.ph.I1          -               79     348   12011   12290   11990   12310   13522    +       2e-07   36.3   5.7  UNVERIFIED: Bacteriophage sp. clone scaffold_2312 genomic sequence.
MT836027             -          c-Acb.ph.I1          -              756    1222    8707    8228    8728    8204   13768    -     9.5e-06   30.8   8.7  UNVERIFIED: Bacteriophage sp. clone scaffold_1234 genomic sequence.
ON470622             -          c-Acb.ph.I1          -              759    1227   41232   41697   41191   41723   46650    +     2.8e-05   29.2   7.4  Escherichia phage vB_EcoS-716R3, partial genome.
MK448228             -          c-Acb.ph.I1          -              759    1227    1922    1457    1962    1436   46342    -     3.2e-05   29.0   7.4  Klebsiella phage ST15-VIM1phi2.1, complete genome.
KT887559             -          c-Acb.ph.I1          -              630    1196    1298    1837    1278    1934   32637    +     3.8e-05   28.8  12.0  Pseudomonas phage phi3, complete genome.
NC_030940            -          c-Acb.ph.I1          -              630    1196    1298    1837    1278    1934   32637    +     3.8e-05   28.8  12.0  Pseudomonas phage phi3, complete genome.
ON470608             -          c-Acb.ph.I1          -              760    1216    5418    4968    5460    4954   46651    -     4.1e-05   28.7   7.1  Escherichia phage vB_EcoS-733R5, complete genome.
MT835550             -          c-Acb.ph.I1          -              757    1204   10529   10970   10508   11006   34009    +      0.0023   22.9   8.6  UNVERIFIED: Bacteriophage sp. clone scaffold_153 genomic sequence.
MK448731             -          c-Acb.ph.I1          -              629    1187   13100   13661   13079   13749   35793    +        0.06   18.2  32.8  Streptococcus phage Javan33, complete genome.
MK448781             -          c-Acb.ph.I1          -              629    1187   10734   11295   10713   11383   40382    +        0.06   18.2  32.8  Streptococcus phage Javan5, complete genome.
MK448888             -          c-Acb.ph.I1          -              629    1187   11072   11633   11051   11721   33765    +        0.06   18.2  32.8  Streptococcus phage Javan26, complete genome.
LC727904             -          c-Acb.ph.I1          -             1205    1399    5413    5218    5436    5196   60207    -         3.5   12.3   1.3  StxXX-converting phage Stx1_JNE110649 DNA, complete genome.
AP014693             -          c-Acb.ph.I1          -              988    1098  213361  213463  213336  213483  223932    +         4.4   12.0   0.1  Ralstonia phage RSL2 DNA, complete sequence.
NC_028950            -          c-Acb.ph.I1          -              988    1098  213361  213463  213336  213483  223932    +         4.4   12.0   0.1  Ralstonia phage RSL2 DNA, complete sequence.
MG711462             -          c-Acb.ph.I1          -              826    1097   42170   42454   42139   42696   49573    +         6.5   11.4   3.2  Faecalibacterium phage FP_Epona, complete genome.
NC_047910            -          c-Acb.ph.I1          -              826    1097   42170   42454   42139   42696   49573    +         6.5   11.4   3.2  Faecalibacterium phage FP_Epona, complete genome.
MT836950             -          c-Acb.ph.I1          -               72     216    9887   10032    9864   10052   12194    +           7   11.3   4.7  UNVERIFIED: Bacteriophage sp. clone scaffold_3480 genomic sequence.
OQ555808             -          c-Acb.ph.I2          -                2    1982   59511   61408   59510   61409   62663    +     2.5e-67  234.6 102.5  Mycobacterium phage Nanz197, complete genome.
MT835550             -          c-Acb.ph.I2          -              451    1350   10140   11079   10112   11105   34009    +     7.1e-13   54.3  22.2  UNVERIFIED: Bacteriophage sp. clone scaffold_153 genomic sequence.
KT887559             -          c-Acb.ph.I2          -              800    1464    1383    2065    1360    2085   32637    +     4.5e-11   48.3   9.4  Pseudomonas phage phi3, complete genome.
NC_030940            -          c-Acb.ph.I2          -              800    1464    1383    2065    1360    2085   32637    +     4.5e-11   48.3   9.4  Pseudomonas phage phi3, complete genome.
LC727904             -          c-Acb.ph.I2          -              794    1274    6009    5517    6031    5494   60207    -     1.7e-07   36.5   3.5  StxXX-converting phage Stx1_JNE110649 DNA, complete genome.
ON470608             -          c-Acb.ph.I2          -              791    1318    5457    4933    5486    4867   46651    -       4e-05   28.6   7.8  Escherichia phage vB_EcoS-733R5, complete genome.
ON470622             -          c-Acb.ph.I2          -              791    1318   41194   41718   41165   41784   46650    +     4.2e-05   28.5   7.9  Escherichia phage vB_EcoS-716R3, partial genome.
MT836027             -          c-Acb.ph.I2          -              858    1284    8669    8234    8692    8212   13768    -     6.2e-05   28.0   6.7  UNVERIFIED: Bacteriophage sp. clone scaffold_1234 genomic sequence.
MK448228             -          c-Acb.ph.I2          -              791    1279    1960    1463    1989    1410   46342    -     8.6e-05   27.5   8.0  Klebsiella phage ST15-VIM1phi2.1, complete genome.
MT836484             -          c-Acb.ph.I2          -              116     296   12034   12220   12014   12241   13522    +       0.041   18.7   5.4  UNVERIFIED: Bacteriophage sp. clone scaffold_2312 genomic sequence.
MT836071             -          c-Acb.ph.I2          -              801    1260   21214   20758   21234   20734   25949    -        0.77   14.4  11.6  UNVERIFIED: Bacteriophage sp. clone scaffold_1347 genomic sequence.
ON107264             -          c-Acb.ph.I2          -              800    1251   86128   86576   86108   86599  133818    +         1.5   13.5  12.5  Bacillus phage BUCT083, complete genome.
KX452697             -          c-Acb.ph.I2          -              871    1088  128142  127934  128162  127913  160268    -         6.5   11.4   1.5  UNVERIFIED: Serratia phage KNP4 genomic sequence.
MK448731             -          c-Acb.ph.I2          -              801     967   13205   13371   13184   13397   35793    +         8.3   11.0   8.6  Streptococcus phage Javan33, complete genome.
MK448781             -          c-Acb.ph.I2          -              801     967   10839   11005   10818   11031   40382    +         8.3   11.0   8.6  Streptococcus phage Javan5, complete genome.
MK448888             -          c-Acb.ph.I2          -              801     967   11177   11343   11156   11369   33765    +         8.3   11.0   8.6  Streptococcus phage Javan26, complete genome.
JX878496             -          c-Acb.ph.I2          -              872    1088  143380  143173  143401  143152  157834    -         8.8   10.9   0.3  Serratia phage phiMAM1, complete genome.
NC_020083            -          c-Acb.ph.I2          -              872    1088  143380  143173  143401  143152  157834    -         8.8   10.9   0.3  Serratia phage phiMAM1, complete genome.
OQ555808             -          c-Mb.ox.I1           -                2    1924   59511   61406   59510   61409   62663    +     1.3e-59  209.3 100.6  Mycobacterium phage Nanz197, complete genome.
MT835550             -          c-Mb.ox.I1           -              696    1263   10453   11041   10352   11069   34009    +     3.4e-13   55.5  11.5  UNVERIFIED: Bacteriophage sp. clone scaffold_153 genomic sequence.
LC727904             -          c-Mb.ox.I1           -              722    1214    6023    5522    6117    5506   60207    -     1.5e-07   36.8   4.1  StxXX-converting phage Stx1_JNE110649 DNA, complete genome.
KT887559             -          c-Mb.ox.I1           -              738    1219    1379    1845    1358    1907   32637    +       0.011   20.8   8.0  Pseudomonas phage phi3, complete genome.
NC_030940            -          c-Mb.ox.I1           -              738    1219    1379    1845    1358    1907   32637    +       0.011   20.8   8.0  Pseudomonas phage phi3, complete genome.
MT836484             -          c-Mb.ox.I1           -              125     288   12049   12218   12033   12279   13522    +        0.56   15.1   5.9  UNVERIFIED: Bacteriophage sp. clone scaffold_2312 genomic sequence.
MK448781             -          C.a.I1               -              739    1392   10834   11502   10814   11623   40382    +     1.3e-20   80.7  46.4  Streptococcus phage Javan5, complete genome.
MK448731             -          C.a.I1               -              739    1392   13200   13868   13180   13990   35793    +     1.3e-20   80.6  46.5  Streptococcus phage Javan33, complete genome.
MK448888             -          C.a.I1               -              739    1392   11172   11840   11152   11962   33765    +     1.3e-20   80.6  46.5  Streptococcus phage Javan26, complete genome.
OQ555808             -     
