gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
CP133956.1_1080	1134472	1135131	660	-1	0.298	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1081	1135479	1137041	1563	-1	0.429	11	GGA/GAG/AGG	GENOMAD.032975.CC	1.04e-23	109	1	0	0	2561	Caudoviricetes	NA	NA	PF00958;PF13638;PF09002;TIGR03642;K07158;COG1875	GMP synthase C terminal domain; PIN domain
CP133956.1_1082	1137328	1138026	699	1	0.402	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1083	1138229	1138570	342	1	0.327	11	None	GENOMAD.110076.CV	4.703e-17	78	0	0	0	2561	Caudoviricetes	NA	NA	PF11242;K09787;TIGR00721;COG4496	DNA-binding protein, Tfx family
CP133956.1_1084	1138585	1140156	1572	1	0.422	11	AGGAG	GENOMAD.050490.CV	1.399e-49	189	1	0	0	2561	Caudoviricetes	NA	NA	PF02881;PF01591;K03106;TIGR00959;COG0541	signal recognition particle protein
CP133956.1_1085	1140309	1141532	1224	-1	0.399	11	GGAG/GAGG	GENOMAD.151352.CP	8.875e-13	73	0	0	0	1	NA	NA	NA	PF02388;K18354;COG2348;TIGR04421	FemAB family
CP133956.1_1086	1141757	1142728	972	-1	0.399	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1087	1143041	1143481	441	-1	0.361	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1088	1143478	1144413	936	-1	0.403	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1089	1144851	1145264	414	-1	0.391	11	AGGA	GENOMAD.147116.CP	1.09e-07	52	0	0	0	1	NA	NA	NF000496	PF14696;COG3607;TIGR00068;K08234	Predicted lactoylglutathione lyase
CP133956.1_1090	1145362	1146117	756	-1	0.402	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1091	1146122	1148617	2496	-1	0.433	11	AGGAG	GENOMAD.026404.VV	5.317e-56	215	0	0	0	2561	Caudoviricetes	NA	NA	PF00521;PF00986;K02469;TIGR01063;COG0188	DNA gyrase, A subunit
CP133956.1_1092	1148809	1149792	984	1	0.429	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1093	1149997	1151364	1368	-1	0.407	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1094	1151614	1152216	603	-1	0.420	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1095	1152217	1153194	978	-1	0.380	11	AGxAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1096	1153197	1154456	1260	-1	0.451	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1097	1154468	1154899	432	-1	0.414	11	AGGAGG	GENOMAD.158067.CP	0.000695	41	0	0	0	1	NA	NA	NF033075	PF13420;COG3818;TIGR02382;K18815	Predicted acetyltransferase, GNAT superfamily
CP133956.1_1098	1154913	1155506	594	-1	0.416	11	GGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1099	1155478	1156326	849	-1	0.420	11	None	GENOMAD.091839.CV	2.829e-06	51	0	0	0	2561	Caudoviricetes	NA	NA	PF01189;K15460;COG4123;TIGR03534	tRNA1(Val) A37 N6-methylase TrmN6
CP133956.1_1100	1156323	1157405	1083	-1	0.445	11	AGGAG(G)/GGAGG	GENOMAD.000882.CC	1.381e-22	103	0	0	0	1	NA	NA	NA	PF03462;COG0216	PCRF domain
CP133956.1_1101	1157447	1158016	570	-1	0.382	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1102	1158203	1158388	186	1	0.468	11	AGGAG	GENOMAD.147542.CP	4.982e-10	55	0	0	0	1	NA	NA	NA	PF01361;COG1942;TIGR00013;K15552	Phenylpyruvate tautomerase PptA, 4-oxalocrotonate tautomerase family
CP133956.1_1103	1158443	1158853	411	1	0.416	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1104	1158873	1159388	516	1	0.386	11	GGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1105	1159412	1160215	804	1	0.407	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1106	1160277	1160816	540	1	0.422	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1107	1161104	1161685	582	-1	0.414	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1108	1161871	1162854	984	-1	0.429	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1109	1163212	1164066	855	-1	0.406	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1110	1164148	1164744	597	-1	0.436	11	GGAGG	GENOMAD.146738.CP	0.0001937	44	0	0	0	1	NA	NA	NA	PF00528;COG4986;TIGR03262;K15552	ABC-type anion transport system, duplicated permease component
CP133956.1_1111	1164737	1164907	171	-1	0.404	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1112	1164947	1165465	519	-1	0.418	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1113	1165720	1166406	687	1	0.399	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1114	1166511	1167269	759	-1	0.428	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1115	1167369	1168370	1002	-1	0.433	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1116	1168374	1169276	903	-1	0.416	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1117	1169273	1170109	837	-1	0.400	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1118	1170084	1170755	672	-1	0.388	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1119	1170850	1171422	573	1	0.412	11	AGGA	GENOMAD.183462.CP	3.141e-38	143	0	0	0	1	NA	NA	NA	PF01928;COG4116;TIGR00318;K18446	Predicted triphosphatase or cyclase YjbK, contains CYTH domain
CP133956.1_1120	1171557	1172531	975	1	0.419	11	AGGAG/GGAGG	GENOMAD.089844.CV	0.0005833	44	0	0	0	2561	Caudoviricetes	NA	NA	PF15609;TIGR01367;COG0461;K00762	orotate phosphoribosyltransferase, Thermus family
CP133956.1_1121	1172534	1173661	1128	1	0.434	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1122	1173651	1173998	348	1	0.356	11	AGGAGG	GENOMAD.055612.CC	4.083e-11	61	0	0	0	1	NA	NA	NA	PF08866	Putative amino acid metabolism
CP133956.1_1123	1174284	1174928	645	1	0.395	11	AGGAG	GENOMAD.059967.CC	1.028e-62	215	0	0	0	1	NA	NA	NA	PF02629;K01926;COG2344;TIGR01921	NADH/NAD ratio-sensing transcriptional regulator Rex
CP133956.1_1124	1174940	1175635	696	1	0.450	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1125	1175637	1176314	678	-1	0.388	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1126	1176466	1177593	1128	-1	0.410	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1127	1177941	1178555	615	-1	0.408	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1128	1178761	1180293	1533	-1	0.430	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1129	1180451	1181524	1074	-1	0.412	11	AGGAGG	GENOMAD.141001.CP	4.721e-11	67	0	0	0	1	NA	NA	NA	PF13343;K02055;TIGR03227;COG4134	2-aminoethylphosphonate ABC transporter, periplasmic 2-aminoethylphosphonate binding protein
CP133956.1_1130	1181517	1182293	777	-1	0.377	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1131	1182290	1183084	795	-1	0.403	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1132	1183068	1184222	1155	-1	0.419	11	AGGAG/GGAGG	GENOMAD.126777.CP	6.302e-07	54	0	0	0	2561	Caudoviricetes	NA	NA	PF17912;PF03459;COG3585;TIGR00638	MalK OB fold domain; TOBE domain
CP133956.1_1133	1184268	1185155	888	-1	0.435	11	AGxAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1134	1185251	1185757	507	-1	0.442	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1135	1185754	1186116	363	-1	0.386	11	GGA/GAG/AGG	GENOMAD.105435.CP	2.318e-19	85	0	0	0	1	NA	NA	NA	PF02152;K01633;TIGR00526;COG1539	FolB domain
CP133956.1_1136	1186120	1186920	801	-1	0.452	11	AGGAG/GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1137	1186928	1187575	648	-1	0.435	11	GGAG/GAGG	GENOMAD.153106.VC	0.0002428	44	0	0	0	2561	Caudoviricetes	NA	NA	PF01227;PF00156;COG2236;TIGR00063	Hypoxanthine phosphoribosyltransferase
CP133956.1_1138	1187551	1188810	1260	-1	0.441	11	GGAG/GAGG	GENOMAD.104630.CP	5.165e-51	190	0	0	0	2561	Caudoviricetes	NA	NA	PF08245;PF02875;K11754;TIGR01499;COG0285	folylpolyglutamate synthase/dihydrofolate synthase
CP133956.1_1139	1188975	1189835	861	-1	0.447	11	AGGAG	GENOMAD.071960.CP	6.332e-16	81	0	0	0	1	NA	NA	NA	PF00288;PF08544;K00872;TIGR00191;COG0083	homoserine kinase
CP133956.1_1140	1189837	1191120	1284	-1	0.438	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1141	1191292	1192257	966	1	0.414	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1142	1192549	1193355	807	-1	0.444	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1143	1193856	1194275	420	-1	0.467	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1144	1194646	1196739	2094	1	0.447	11	GGAG/GAGG	GENOMAD.046845.VV	1.206e-19	97	0	0	0	2561	Caudoviricetes	NA	NA	PF10431	NA
CP133956.1_1145	1196929	1199931	3003	-1	0.427	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1146	1200083	1200253	171	-1	0.322	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1147	1200295	1200894	600	-1	0.403	11	AGGAG	GENOMAD.090247.CV	2.376e-36	138	0	0	0	2561	Caudoviricetes	NA	NA	PF05049;K03978;TIGR03598;COG0218	ribosome biogenesis GTP-binding protein YsxC/EngB
CP133956.1_1148	1200904	1202133	1230	-1	0.426	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1149	1202169	1202339	171	-1	0.363	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1150	1202359	1202856	498	-1	0.442	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1151	1202937	1203776	840	-1	0.424	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1152	1203961	1205136	1176	1	0.429	11	AGxAGG/AGGxGG	GENOMAD.135938.CP	1.866e-56	205	0	0	0	1	NA	NA	NA	PF08540	Hydroxymethylglutaryl-coenzyme A synthase C terminal
CP133956.1_1153	1205120	1206406	1287	1	0.467	11	None	GENOMAD.148019.CP	3.277e-68	241	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1154	1206691	1207683	993	-1	0.445	11	GGA/GAG/AGG	GENOMAD.142017.CP	7.643e-21	97	0	0	0	1	NA	NA	NA	PF01070;TIGR02151;COG1304	isopentenyl-diphosphate delta-isomerase, type 2
CP133956.1_1155	1207686	1208684	999	-1	0.458	11	AGGA	GENOMAD.003884.CC	6.105e-144	456	1	0	0	1	NA	NA	NA	PF00288;K00938;TIGR01220;COG3890	phosphomevalonate kinase, ERG8-type, Gram-positive branch
CP133956.1_1156	1208677	1209621	945	-1	0.460	11	GGAG/GAGG	GENOMAD.001726.CC	5.278e-61	215	0	0	0	1	NA	NA	NA	PF18376;PF00288;K01597;TIGR01240;COG3407	Mevalonate 5-diphosphate decarboxylase C-terminal domain; GHMP kinases N terminal domain
CP133956.1_1157	1209603	1210481	879	-1	0.444	11	None	GENOMAD.000673.CC	3.301e-16	82	1	0	0	1	NA	NA	NA	PF00288;K00869;TIGR00549;COG0153	mevalonate kinase
CP133956.1_1158	1211011	1211511	501	-1	0.425	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1159	1211646	1213166	1521	-1	0.281	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1160	1213159	1214910	1752	-1	0.296	11	GGAG/GAGG	GENOMAD.022372.VV	2.314e-13	76	0	0	1	2561	Caudoviricetes	NA	NA	PF04708;COG1961;K14060	Site-specific DNA recombinase related to the DNA invertase Pin
CP133956.1_1161	1214903	1215703	801	-1	0.282	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1162	1215793	1216308	516	1	0.386	11	GGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1163	1216332	1217135	804	1	0.405	11	None	GENOMAD.224170.VP	0.0004032	44	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1164	1217394	1217561	168	1	0.417	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1165	1217585	1218388	804	1	0.405	11	None	GENOMAD.224170.VP	0.0004032	44	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1166	1218413	1219306	894	-1	0.299	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1167	1219405	1219572	168	-1	0.244	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1168	1220028	1220429	402	-1	0.284	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1169	1221275	1221520	246	-1	0.244	11	AGGAG/GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1170	1221642	1222541	900	-1	0.253	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1171	1222569	1223633	1065	-1	0.263	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1172	1223653	1225398	1746	-1	0.283	11	AGGAGG	GENOMAD.079763.VV	1.239e-06	54	0	0	0	12031	Mimiviridae	NA	NA	K16963;COG0444	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component
CP133956.1_1173	1225403	1227160	1758	-1	0.295	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1174	1227183	1228559	1377	-1	0.280	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1175	1228573	1229244	672	-1	0.289	11	GGA/GAG/AGG	GENOMAD.002346.CC	3.659e-42	156	0	0	0	1	NA	NA	NA	PF02361;COG0619;TIGR02454;K16783	Energy-coupling factor transporter transmembrane protein EcfT
CP133956.1_1176	1229246	1229833	588	-1	0.311	11	AGGAG	GENOMAD.177970.CP	2.497e-43	158	0	0	0	1	NA	NA	NA	PF09605;K16926;TIGR02185;COG4721	putative ECF transporter S component, Trep_Strep family
CP133956.1_1177	1229823	1233641	3819	-1	0.266	11	GGAG/GAGG	GENOMAD.021481.VV	1.359e-05	52	0	0	0	5797	Crassvirales	NA	NA	NA	NA
CP133956.1_1178	1233625	1235748	2124	-1	0.271	11	AGxAGG/AGGxGG	GENOMAD.198277.PC	1.29e-23	110	0	0	0	1	NA	NA	NA	PF01408;K04785;TIGR01761;COG4693	thiazolinyl imide reductase
CP133956.1_1179	1235748	1241819	6072	-1	0.296	11	AGGAGG	GENOMAD.058675.VV	1.141e-05	53	0	0	1	2561	Caudoviricetes	NA	NA	TIGR02242	NA
CP133956.1_1180	1241834	1243417	1584	-1	0.333	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1181	1243426	1244109	684	-1	0.270	11	None	GENOMAD.153432.CP	7.796e-08	55	0	0	0	1	NA	NA	NA	PF01648;PF17837;COG2091;TIGR00516	Phosphopantetheinyl transferase
CP133956.1_1182	1244096	1244845	750	-1	0.332	11	GGA/GAG/AGG	GENOMAD.210133.PC	0.0001671	45	0	0	0	1	NA	NA	NA	PF06057;COG3509;TIGR03100;K15657	Poly(3-hydroxybutyrate) depolymerase
CP133956.1_1183	1245074	1245454	381	-1	0.270	11	None	GENOMAD.125766.CP	8.894e-06	46	0	0	0	1	NA	NA	NA	PF02742;PF18357;K03709;COG1918;TIGR02698	Iron dependent repressor, metal binding and dimerisation domain; Diphteria toxin repressor SH3 domain
CP133956.1_1184	1245990	1246358	369	1	0.314	11	GGAGG	GENOMAD.192815.PC	1.172e-10	60	0	1	0	1	NA	NA	NA	PF19514	MobC-like protein
CP133956.1_1185	1246358	1247731	1374	1	0.317	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1186	1247841	1248326	486	-1	0.309	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1187	1248484	1249623	1140	-1	0.309	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1188	1249614	1249922	309	-1	0.278	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1189	1249923	1256168	6246	-1	0.339	11	None	GENOMAD.192142.VP	0.0003806	48	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
CP133956.1_1190	1256207	1256800	594	-1	0.305	11	AGxAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1191	1256805	1261847	5043	-1	0.327	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1192	1261864	1262610	747	-1	0.305	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1193	1262652	1263203	552	-1	0.337	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1194	1263207	1264919	1713	-1	0.347	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1195	1265091	1265933	843	-1	0.286	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1196	1265926	1266519	594	-1	0.305	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1197	1266772	1268235	1464	-1	0.357	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1198	1268213	1268500	288	-1	0.257	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1199	1268513	1270801	2289	-1	0.324	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1200	1270767	1271792	1026	-1	0.352	11	GGA/GAG/AGG	GENOMAD.064510.VV	4.773e-24	107	0	0	0	2561	Caudoviricetes	NA	NA	PF09225;PF01555;K24451;COG0863	Restriction endonuclease PvuII; DNA methylase
CP133956.1_1201	1271794	1274271	2478	-1	0.340	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1202	1274231	1274641	411	-1	0.324	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1203	1274645	1275139	495	-1	0.307	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1204	1275212	1276075	864	-1	0.356	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1205	1276075	1276290	216	-1	0.407	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1206	1276648	1277244	597	-1	0.295	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1207	1277241	1277915	675	-1	0.310	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1208	1277916	1280084	2169	-1	0.285	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1209	1280192	1280575	384	-1	0.378	11	AGGAG	GENOMAD.112979.PP	2.617e-29	114	0	0	0	1	NA	NA	NA	PF09683;TIGR01653	bacteriocin, lactococcin 972 family
CP133956.1_1210	1280853	1281473	621	-1	0.256	11	GGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1211	1281507	1282310	804	-1	0.405	11	None	GENOMAD.224170.VP	0.0004032	44	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1212	1282334	1282849	516	-1	0.386	11	GGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1213	1282978	1283442	465	-1	0.305	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1214	1283542	1284429	888	-1	0.370	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1215	1284525	1285490	966	-1	0.321	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1216	1285483	1286259	777	-1	0.366	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1217	1286405	1287574	1170	-1	0.408	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1218	1287576	1289297	1722	-1	0.422	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1219	1289746	1291752	2007	1	0.443	11	AGGAG	GENOMAD.170266.CP	2.238e-08	60	0	0	0	1	NA	NA	NA	PF02872	5'-nucleotidase, C-terminal domain
CP133956.1_1220	1291711	1291869	159	-1	0.390	11	AGGA/GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1221	1291943	1292353	411	-1	0.440	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1222	1292485	1293834	1350	-1	0.456	11	GGAG/GAGG	GENOMAD.123612.CP	6.947e-06	51	0	0	0	1	NA	NA	NA	PF05088;COG2902;K15371	NAD-specific glutamate dehydrogenase
CP133956.1_1223	1293975	1295747	1773	-1	0.420	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1224	1295747	1297492	1746	-1	0.424	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1225	1297597	1299465	1869	-1	0.434	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1226	1299458	1300672	1215	-1	0.437	11	AGxAGG/AGGxGG	GENOMAD.144986.VV	3.397e-07	55	0	0	0	2561	Caudoviricetes	NA	NA	PF01743;TIGR01942;K00970;COG0617	poly(A) polymerase
CP133956.1_1227	1300769	1301617	849	-1	0.426	11	AGGA/GGAG/GAGG	GENOMAD.159975.CP	5.853e-06	50	0	0	0	1	NA	NA	NA	PF02645;COG1307;TIGR00762	Fatty acid-binding protein DegV (function unknown)
CP133956.1_1228	1301617	1301997	381	-1	0.370	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1229	1302206	1303072	867	-1	0.401	11	AGGA/GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1230	1303069	1303611	543	-1	0.383	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1231	1303656	1304366	711	-1	0.405	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1232	1304813	1305766	954	-1	0.311	11	None	GENOMAD.132384.CP	5.103e-63	221	0	0	0	1	NA	NA	NA	K03319;COG0471	Di- and tricarboxylate transporter
CP133956.1_1233	1305766	1306170	405	-1	0.331	11	AGGAG(G)/GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1234	1306578	1306808	231	-1	0.342	11	GGAG/GAGG	GENOMAD.111699.PP	7.61e-27	104	0	1	0	1	NA	NA	NA	PF12958	NA
CP133956.1_1235	1306902	1307345	444	-1	0.300	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1236	1307350	1307547	198	-1	0.303	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1237	1307829	1308302	474	-1	0.359	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1238	1308754	1309353	600	-1	0.447	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1239	1309931	1311877	1947	-1	0.458	11	GGAG/GAGG	GENOMAD.125954.CP	1.901e-11	70	0	0	0	1	NA	NA	NA	PF00359;PF12728;K02806;TIGR01419;COG4668	PTS IIA-like nitrogen-regulatory protein PtsN
CP133956.1_1240	1311874	1312785	912	-1	0.434	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1241	1312782	1313450	669	-1	0.392	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1242	1313930	1314853	924	-1	0.418	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1243	1314865	1315923	1059	-1	0.415	11	GGAG/GAGG	GENOMAD.179009.CP	2.328e-191	594	0	0	0	1	NA	NA	NA	K07035;COG3641	Uncharacterized membrane protein PfoR (does not regulate perfringolysin O expression)
CP133956.1_1244	1316055	1317047	993	-1	0.440	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_1245	1317047	1317781	735	-1	0.424	11	GGA/GAG/AGG	GENOMAD.061903.CP	1.056e-37	144	0	0	0	2561	Caudoviricetes	NA	NA	PF01782;PF03448;PF05239;PF01746;COG0806;K00554;TIGR00088	Ribosomal 30S subunit maturation factor RimM, required for 16S rRNA processing
