#This annotation file adds bars which indicate the length of the viral genome.

DATASET_SIMPLEBAR

SEPARATOR TAB

DATASET_LABEL	Genome Length (KB)
OL791266	28.346
OL770365	53.372
OL754589	42.925
OL754588	65.466
OL762410	36.47
OL742563	51.592
OL742562	41.712
OL742559	75.132
MW584228	159.145
LR881104	265.389
LR881103	16.548
MZ326866	44.659
MZ326862	95.728
MZ326855	56.042
MZ326867	45.678
MZ326865	41.811
MZ326861	74.717
MZ326860	63.825
MZ326856	74.962
MZ326854	42.593
OV754623	169.555
MZ456352	111.792
MW478292	48.164
MW478291	54.735
MW478290	33.985
MW478289	40.619
EU861005	45.344
EU272037	36.885
EU272036	36.632
EU399241	39.245
DQ674738	33.985
EU100884	83.319
EU100883	84.201
EF529515	35.543
EF537008	43.249
EF372997	46.214
EF057797	38.197
DQ834250	44.041
DQ831957	43.42
DQ777876	44.52
DQ908929	42.14
DQ875742	40.938
DQ873690	36.409
DQ631426	36.415
DQ535032	79.232
LC680885	267.055
LC680884	252.136
OK310514	44.776
OK310513	44.776
OK310512	44.776
MZ361827	42.553
MZ361826	40.77
MZ361825	36.798
OL455897	46.094
OL455894	49.556
OL455891	49.957
OL455888	47.537
OL455886	37.544
OK181862	54.117
OK181861	79.534
OK181860	53.997
OK181858	77.392
OL979479	42.251
OL979478	40.41
OL799250	41.035
OL739525	151.825
OL699877	59.328
OL702938	49.534
OL743187	44.241
OL741057	139.409
OL865411	49.473
OK143508	40.923
MZ286294	4.806
OL770309	171.269
MW526258	62.522
MW760841	249.194
MW349133	100.533
OK570186	75.899
OK570185	45.951
OK570184	46.202
OL964058	156.575
OL774877	34.071
OL774867	42.739
OL763420	164.549
MT745956	39.399
MT745954	38.554
MT745955	40.353
MW557853	16.133
MW344767	19.481
MW344766	16.28
MW344764	11.758
MG550113	9.368
MG550111	9.296
MG550110	9.944
KY965934	16.159
KY264020	15.01
KX344510	11.648
KF056323	8.176
JN882267	9.694
JN882266	8.549
JN882265	8.77
JN882264	10.656
GU321093	8.082
FJ685651	7.048
DQ530362	43.189
DQ530360	43.145
DQ530359	43.128
DQ529280	161.475
DQ517338	43.864
AF191797	16.067
DQ163916	59.446
DQ163914	43.365
DQ114220	30.505
OM105886	61.714
OL800606	86.124
OL800604	110.591
OL800605	38.505
OL800603	39.433
OM203157	61.926
OM203156	75.306
OL774876	12.916
OL774875	36.665
OL774874	41.671
OL774873	38.511
OL774872	36.804
OL774871	36.522
OL774870	38.516
OL774869	30.592
OL774868	30.21
OL774866	21.387
MZ634351	51.939
MZ634350	51.583
MZ634349	170.712
MZ634348	51.637
MZ634347	170.706
MZ634346	50.457
MZ634345	49.365
MZ634344	109.179
MZ634343	44.881
MZ634342	44.892
MZ634341	157.53
MZ634340	44.626
MZ634339	44.612
MZ634338	44.602
OL770310	110.539
OK597184	16.494
AF083977	36.717
OL551674	178.477
OK288022	114.77
OL622073	91.079
OL840900	163.879
OL676770	48.938
MZ443773	265.846
OL606627	59.052
OL799327	86.289
OL674249	49.674
OL617037	4.275
OL617036	4.325
OL617030	4.58
OL617042	50.667
OL617041	48.082
MZ923504	49.966
OM135583	165.577
OL960582	50.709
OL960581	166.337
OL960580	167.177
OL960579	50.465
OL960578	48.98
OL960577	169.615
OL960576	169.615
OL960575	59.778
OL960574	53.673
OL960573	61.753
MZ995503	38.038
MZ436628	39.679
LC597490	229.829
OL614104	86.193
OL310488	167.718
OL774570	65.284
OK665835	108.723
MZ995506	38.176
MZ995505	38.947
MZ995504	44.001
OL960029	47.76
OK254198	172.175
OK254197	107.506
OL744112	24.162
OL744111	19.362
OL989991	173.871
OL959999	41.777
OL580764	125.49
OL955261	150.063
OL856099	68.721
OL674541	63.962
OL956808	166.102
MZ516527	39.546
MZ318367	46.774
MZ892993	53.075
MZ892992	53.826
MZ892991	54.551
MZ892990	54.718
MZ892989	52.729
MZ892988	54.748
MZ892987	54.895
MW205203	40.28
OL505085	56.564
OL505084	39.766
OK499971	47.816
MK075002	43.851
OL617038	3.911
OL617035	4.362
OL617034	4.38
OL617033	4.389
OL617032	4.405
OL617031	4.44
OL617029	4.969
OL617028	5.648
OL617027	5.767
OL617026	5.849
OL617025	5.857
OL617024	5.949
OL617023	5.964
OL617022	6.062
OL617021	6.096
OL617020	6.111
OL617019	6.153
OL617018	6.26
OL617017	6.376
OL617016	6.049
OL617015	4.179
OL617014	4.315
OL617040	51.802
OL617039	31.988
OL656110	154.84
AY939843	45.176
DQ003638	137.619
DQ054536	28.538
DQ004855	131.384
AY954970	130.706
AY954969	138.715
AY954968	43.44
AY954967	42.431
AY954966	43.231
AY954965	41.69
AY954955	45.861
AY954953	44.283
AY954952	43.883
AY954951	42.732
AY954950	39.62
AY699705	34.704
AY625898	65.195
AY078382	45.503
AY394005	37.611
AY375531	173.591
AF547987	39.043
AY288927	43.769
AY299121	44.373
BK000583	41.724
AY052766	40.679
AF424782	44.97
AF189021	39.898
AF246223	11.66
MZ666938	42.637
AY135486	30.636
AY212251	16.687
AY095314	46.012
MN685191	41.158
MN685190	40.688
MN685189	40.69
OL840901	61.446
OL690335	59.779
OK539913	89.335
OL451225	170.656
OL691920	39.75
OL615011	158.676
MZ506873	45.161
MZ666130	41.014
MW286254	17.987
MW217515	50.342
MW201959	40.781
MT630408	164.691
MT366943	50.476
MT366942	50.476
MT366941	50.476
MT366940	50.48
MT366939	50.482
MT366938	50.476
MT366937	50.476
MT366936	50.476
MT366935	50.476
MT366934	50.476
MT366933	50.476
MT366932	50.476
MT366931	50.476
MN812694	98.539
MN812693	40.416
MN812692	43.928
MN812690	44.368
MN812689	41.545
MN812688	53.337
MN812686	38.777
MN812685	73.119
MZ547449	59.377
OK490474	40.133
OK490473	35.131
OK490472	39.144
OK490471	40.133
OK490470	35.131
OK490469	39.144
OK490468	40.133
OK490467	35.131
OK490466	39.144
OK490465	40.133
OK490464	35.131
OK490463	39.144
OK490462	40.133
OK490461	35.131
OK490460	39.144
OK490459	35.006
OK490458	39.508
OK490457	33.394
OK490456	35.006
OK490455	33.394
OK490454	39.508
OK490453	35.006
OK490452	33.394
OK490451	39.508
OK490450	39.508
OK490449	35.006
OK490448	33.394
OK490447	39.508
OK490446	35.006
OK490445	33.394
OK490444	39.508
OK490443	35.006
OK490442	33.394
OK490441	39.508
OK490440	35.006
OK490439	33.394
OK490438	39.508
OK490437	35.006
OK490436	33.394
OK490435	35.006
OK490434	33.394
OK490433	39.508
OK490432	35.006
OK490431	33.394
OK490430	39.508
OK490429	35.561
OK490428	36.687
OK490427	35.561
OK490426	36.687
OK490425	35.561
OK490424	36.687
OK490423	35.561
OK490422	36.687
OK490421	45.5
OK490420	33.09
OK490419	45.913
OK490418	46.667
OK490417	40.882
OK490416	46.765
OK490415	48.629
OK490414	37.041
OK490413	33.394
OK490412	35.006
OK490411	35.561
OK490410	48.629
OK490409	35.168
OK490408	34.109
OK490407	35.561
OK490406	36.687
OK490405	35.561
OK490404	36.687
OK490403	35.561
OK490402	36.687
OK490401	35.561
OK490400	36.687
OK490399	35.561
OK490398	36.687
OK490397	35.561
OK490396	36.687
OK490395	35.561
OK490394	36.687
MW392801	81.528
MW392803	158.861
MW392802	81.528
LC667452	32.867
LC667451	321.833
LC667450	225.545
OL519843	42.813
OK338687	5.564
OK129343	53.219
OK073976	53.559
LC528882	32.09
MT338525	147.588
MT226657	137.617
MZ573924	44.304
MZ773939	47.985
MW147603	39.459
MW147602	52.855
MW147601	52.376
MW147600	52.855
MW147599	52.854
MW147598	54.869
MT515757	39.655
MT828553	169.493
MT828552	169.375
MT828551	169.486
MT515756	167.71
MT515755	165.778
MT515754	166.974
MT515753	165.733
MT515752	166.925
MT515751	169.49
MT526905	166.935
OL539467	48.303
OL539447	48.301
OL539472	51.779
OL539466	50.023
OL539457	51.552
OL539451	48.302
OL539450	48.988
OL539446	51.274
OL539445	51.374
OL539440	47.263
MZ955866	43.018
MZ401009	18.254
MZ401007	17.98
MZ401006	40.182
MZ401008	18.27
MZ401005	18.246
AF125163	33.106
AF145054	35.466
AF157835	36.524
AF115103	40.739
AF115102	37.37
AF155037	10.079
AF063097	33.593
AF011378	28.451
JF704106	60.835
GU060500	52.141
OL505078	151.425
OL512804	44.148
OL539470	179.053
OL539459	51.759
OL449681	50.241
OL539727	45.805
OL474141	85.944
OL473897	91.015
MZ156570	157.697
MZ156569	43.508
MZ156568	43.511
MZ156567	42.161
OV101294	136.98
OV049961	70.979
OU734268	50.809
LR999871	71.488
LR999870	42.656
LR990704	167.153
LR990702	42.624
LR880803	87.693
LR865361	146.554
OV192280	33.349
OK272490	86.143
OK272489	49.897
OK272488	45.011
OK272484	166.3
OK272483	51.253
OK272482	136.893
OK272481	49.995
OK272480	109.776
OK272479	51.277
OK272478	51.21
OK272477	111.814
OK272476	168.125
OK272475	16.547
OK272474	44.804
OK272473	166.825
OK272472	86.784
OK272471	49.995
OL539471	178.878
OL539469	40.152
OL539468	274.604
OL539465	48.103
OL539464	41.797
OL539462	49.619
OL539461	49.712
OL539458	166.929
OL539456	41.738
OL539455	42.053
OL539454	59.985
OL539453	48.301
OL539452	42.792
OL539449	41.921
OL539448	49.054
OL539444	49.765
OL539443	50.071
OL539442	42.052
OL539441	39.188
OL539439	41.293
OL539438	41.292
OK500002	37.369
OK500000	59.089
OK499998	58.538
OK499995	42.679
OK499994	160.928
OK499992	166.879
OK499991	167.995
OK499990	161.711
OK499989	165.808
OK499988	44.476
OK499986	58.566
OK499984	49.713
OK499981	165.052
OK499979	39.748
OK499978	48.129
OK499977	158.566
OK499976	161.711
OK499975	58.534
OK499973	49.523
OK499997	166.665
OK499996	162.839
OK499987	164.998
OK499983	158.334
OK499982	39.168
OK499980	164.872
OL615012	166.647
OK500001	158.201
OK499972	161.151
OK499974	58.589
OK310506	41.802
OK275495	45.281
OK275494	47.5
OK275493	63.593
OK275492	64.088
OK275491	97.884
OK272487	48.988
OK272486	50.987
OK272485	50.29
OK272470	141.597
OK999981	39.843
OK539826	92.393
OK539825	42.943
OK539824	43.291
OK258140	45.054
OK258139	97.989
OK258138	44.322
OL581612	40.73
OL581611	40.177
OL519844	73.167
OL519842	73.885
MW598459	170.318
OK340822	88.308
OK340821	88.308
OK340820	88.308
OK340819	42.696
OK340818	42.696
OK340817	42.696
OK268427	42.755
OK268426	42.756
OK268425	42.756
OK268424	42.756
OK268423	42.756
OK268422	42.756
OL658619	44.421
OL656105	17.065
OL652658	43.955
OL436139	42.6
OL362041	169.246
OL409034	40.946
OL348188	37.312
OL343755	91.108
MZ560702	166.23
MN101229	158.756
MN101225	98.975
OL474125	44.542
MT409176	88.462
MZ427930	151.618
MW505928	29.547
MW021767	38.609
OK330456	43.015
OK330455	42.82
MZ927746	43.141
MZ927745	43.067
MZ504995	50.707
OK274152	166.608
MZ836210	46.1
MZ345003	42.891
OK583892	43.755
OV121131	59.83
LC645451	63.073
LC645450	62.966
LC645449	62.983
LC645448	62.048
LC645447	62.282
LC645446	66.479
LC645445	64.958
LC645444	62.996
LC645443	63.18
LC645442	62.305
LC645441	65.6
LC645440	64.232
LC645439	60.591
LC645438	62.398
LC645437	51.057
LC645436	51.047
LC645435	51.061
LC645434	50.991
LC645433	51.055
LC645432	51.055
LC645431	51.054
LC645430	51.056
LC645429	51.055
LC645428	52.371
LC645427	61.247
LC645426	61.198
LC645425	57.335
LC645424	63.021
LC645423	63.014
LC645422	64.332
LC645421	64.344
LC645420	64.328
LC645419	62.974
LC645418	62.982
LC645417	64.341
LC645416	63.012
LC645415	64.324
LC645414	63.015
LC645413	65.627
LC645412	63.008
LC645411	63
LC645410	62.735
LC645409	63.049
LC645408	64.967
OK149171	70.466
OK649958	73.193
MZ398243	76.631
MZ005680	59.506
MZ005677	50.22
MZ005672	53.746
MZ322018	62.15
MZ322011	62.294
MZ150793	45.677
MZ150783	194.724
MW862993	68.035
MW862988	44.786
MW862980	68.922
MW712737	71.544
MW712728	61.903
MW712727	62.291
MW712726	68.855
MW712724	61.953
MW712721	41.471
MW712720	68.721
MW822147	46.221
MZ028626	154.55
MW924646	49.127
MW924641	62.801
MW924639	53.73
MW924638	62.078
MW601219	51.776
MW534381	68.899
MW534380	68.726
MW534379	67.689
MW534377	68.702
MW534376	50.854
MW534374	73.898
MW507135	45.81
MW507133	75.686
MW507130	46.221
MW507125	58.358
MW435857	71.159
MW055908	44.73
MW055906	71.061
MW314845	71.455
MW291018	53.904
MW291015	49.775
MW291013	46.221
MT986029	78.164
MT889392	42.174
MT889389	41.34
MT889381	70.079
MT889379	77.117
MT889378	46.185
MT889372	41.2
MT889371	39.631
MT889369	68.929
MT889368	75.28
MT889367	47.354
MT889365	41.876
MT952854	74.961
MT952845	45.424
MT818427	41.665
MT818424	46.225
MT818422	42.498
MT818421	53.701
MT818419	71.111
MT771343	58.203
MT897910	71.294
MT897909	68.684
MT897908	69.299
MT897903	69.166
MT897902	68.341
MT897901	69.122
MT684594	53.746
MT657335	60.762
MT657333	62.461
MT657330	53.746
MT776813	68.865
MT776810	47.166
MT776809	45.999
MT776808	47.166
MT723943	75.603
MT723938	51.268
MT723936	47.297
MT723935	53.622
MT723933	82.1
MT639651	58.364
MT639649	41.417
MT639648	69.258
MT639646	97.105
MT639641	63.064
MT522006	46.875
MT521998	57.764
MT521995	42.671
MT498057	42.35
MT498064	53.62
MT498059	45.384
MT498053	69.271
MT498050	43.089
MT498045	43.746
MT498043	49.118
MT498037	68.994
MT553342	62.812
MT310892	69.129
MT310891	54.442
MT310890	54.442
MT310889	54.442
MT310888	53.959
MT310887	53.919
MT310875	54.519
MT310870	70.841
MT310869	54.309
MT310868	68.458
MT310867	68.618
MT316460	68.91
MT316463	68.983
MT316461	81.216
MT114160	76.057
MT114159	53.748
MT024870	15.369
MT024863	53.692
MF197383	40.353
MK880124	45.625
MN945903	68.777
MN945899	68.726
MN908684	37.783
MN735429	43.699
MN813684	55.691
MN813682	55.686
MN813680	42.95
MN703415	68.929
MN703414	95.409
MN703407	95.34
MK814760	114.174
MN586061	43.949
MN586058	68.398
MN586057	44.795
MN586055	46.219
MN586053	58.687
MN586049	44.619
MN586036	44.609
MN586033	37.429
MN586027	60.205
MN586022	91.072
MN586015	48.123
MN585972	60.191
MN585967	68.48
MN585966	41.982
MN585965	68.885
MN585964	71.47
MN369759	70.937
MN369744	68.418
MN369738	68.083
MN444878	46.96
MN444875	41.904
MN444873	68.634
MN444872	68.98
MN444871	46.473
MN444868	68.454
MN484601	115.454
MN428065	154.918
MN428058	71.67
MN428053	45.043
MN428052	71.415
MN428050	71.244
MN284907	58.924
MN284906	48.948
MN284893	71.552
MN234216	129.136
MN234211	172.66
MN234206	173.709
MN234171	71.014
MN310549	45.81
MN310546	54.546
MK894436	114.22
MN183286	111.437
MN183285	156.223
MN183284	61.917
MN183280	156.412
MN062720	54.844
MN062716	48.382
MN062711	53.981
MN062707	153.739
MN062704	54
MN062701	111.843
MK967402	110.439
MK967385	47.618
MK967384	51.789
MK967383	45.917
MK967378	75.943
MN096366	68.803
MN096365	51.5
MN096362	48.201
MK937612	81.071
MK937608	55.957
MK937606	56.033
MK937603	60.468
MK937595	39.535
MK937591	55.366
MN010760	58.718
MK919484	43.089
MK919482	53.746
MK919476	43.746
MK919471	41.8
MK919469	51.668
MK801721	50.678
MK878904	53.932
MK878902	54.241
MK894435	54.396
MK864267	59.448
MK864263	48.35
MK875795	46.543
MK814757	50.187
MK814752	54.534
MK814749	43.729
MK757448	15.675
MK524521	111.345
MK686069	41.238
MK686068	41.376
MK660714	43.701
MK660713	40.234
MK620900	18.251
MK620893	75.528
MK494095	54.858
MK494104	69.033
MK494099	75.687
MK524526	68.467
MK524512	67.952
MK524490	69.691
MK524486	70.963
MK501730	48.905
MK433266	40.733
MK450422	156.319
MK359318	156.374
MK411746	61.073
MK359365	154.593
MK359361	155.951
MK359359	158.508
MK359357	69.239
MK359355	156.06
MK359350	156.342
MK359349	156.926
MK359346	151.1
MK359345	153.772
MK359344	154.072
MK359339	155.256
MK359335	155.47
MK359334	155.127
MK359333	154.933
MK359330	156.068
MK359329	156.36
MK359327	155.601
MK359326	155.256
MK359324	154.584
MK359321	155.06
MK359319	49.909
MK359317	154.543
MK359314	155.005
MK359313	46.463
MK359311	155.433
MK359308	155.596
MK359306	155.55
MK359303	154.529
MK310139	69.027
MK450434	156.574
MK450433	41.609
MK450432	154.553
MK450431	41.267
MK450429	154.734
MK450426	41.403
MK450425	156.606
MK450424	154.855
MK450423	153.369
MK450421	41.578
MK305891	69.439
MK305890	18.266
MK305888	36.213
MK305885	49.909
MK376958	49.87
MK279881	68.068
MK279912	46.221
MK279911	46.221
MK279910	68.573
MK279908	67.687
MK279907	42.968
MK279906	53.215
MK279904	68.985
MK279901	43.661
MK279900	46.702
MK279897	68.865
MK279896	43.562
MK279895	68.983
MK279893	49.897
MK279892	43.85
MK279891	68.821
MK279890	68.718
MK279889	68.56
MK279888	68.88
MK279887	68.355
MK279886	43.546
MK279885	68.888
MK279884	43.764
MK279883	68.669
MK279882	68.306
MK279880	43.418
MK279879	68.318
MK279878	68.65
MK279876	43.195
MK279875	43.391
MK279874	43.739
MK279873	68.65
MK279872	43.274
MK279871	68.318
MK279870	69.197
MK279869	42.561
MK279868	43.739
MK279867	43.238
MK279866	68.791
MK279865	68.89
MK279864	68.497
MK279863	43.496
MK279862	43.087
MK279861	68.664
MK279860	42.602
MK279859	68.334
MK279858	68.341
MK279856	42.972
MK279855	68.415
MK279854	44.251
MK279853	88.97
MK279852	69.191
MK279851	44.416
MK279850	68.866
MK279847	43.366
MK279846	68.978
MK279845	43.661
MK279844	43.439
MK279843	68.65
MK279841	83.219
MK112526	43.739
MK112527	68.179
MK112528	43.934
MK112529	43.357
MK112531	43.239
MK112533	157.364
MK112534	155.885
MK112535	43.862
MK112536	68.753
MK112538	43.706
MK112539	68.057
MK112541	155.784
MK112542	68.75
MK112544	69.085
MK112545	155.251
MK112548	154.462
MK112551	68.831
MK112552	68.568
MK112553	68.325
MK112554	153.817
MK112555	68.939
MK061411	67.503
MK061406	51.827
MK016497	42.363
MK016495	42.363
MH926062	71.722
MH926060	68.591
MH834607	15.771
MH834622	15.013
MH825705	68.774
MH825702	68.584
MH825698	54.473
MH779516	68.866
MH779507	41.903
MH779504	56.214
MH779502	154.658
MH779500	68.521
MH779498	153.796
MH744422	156.288
MH744421	43.161
MH744420	58.268
MH744417	68.591
MH727561	69.867
MH727556	61.703
MH727555	68.521
MH727550	41.394
MH727549	54.125
MH727546	67.391
MH651186	68.406
MH651184	68.04
MH651177	68.596
MH651175	68.856
MH651167	50.97
MH669015	58.677
MH697584	67.494
MH697577	54.145
MH632120	69.471
MH590594	68.39
MH590592	72.658
MH590591	67.304
MH590588	66.887
MH576970	68.015
MH576967	68.405
MH576958	68.494
MH576954	67.993
MH513976	69.431
MH513973	68.822
MH479915	46.728
MH479910	58.695
MH450132	45.847
MH450131	43.95
MH450122	64.827
MH450121	43.95
MH450118	43.949
MH450117	43.95
MH399772	110.169
MH399786	68.873
MH399781	49.897
MH399780	68.494
MH399775	68.866
MH399773	69.263
MH371107	68.243
MH371114	69.044
MH371117	69.031
MH371125	68.878
MH316568	68.527
MH271320	47.921
MH271308	47.364
MH271303	55.572
MH271302	46.95
MH271298	48.5
MH155874	68.721
MH153813	62.312
MH153808	52.304
MH153803	61.769
MH230875	68.503
MH230874	68.296
MH077582	68.74
MH051251	68.235
MH051265	68.482
MH051264	68.875
MH020246	71.651
MH019216	68.26
MH019215	68.671
MG962375	68.086
MG962365	68.331
MG962363	68.509
MG962362	68.056
MG944223	68.798
MG944225	68.493
MG925356	68.792
MG925350	68.488
MG925348	69.009
MG925346	68.921
MG925339	68.249
MG872838	70.883
MG757165	68.716
MG757164	68.727
MG757159	68.673
MG757158	68.821
KP027207	69.451
MG839014	68.67
MG770216	50.832
MG770215	45.909
MG770212	68.296
MG593801	41.872
MG099939	54.867
MG099941	46.042
MG099943	71.807
MG099950	58.499
MG210949	43.891
MG198782	44.258
MG198779	43.94
MF919539	68.682
MF919530	67.88
MF919528	68.375
MF919527	154.874
MF919523	67.768
MF919519	68.804
MF919517	53.746
MF919513	155.759
MF919511	68.953
MF919507	68.171
MF919503	67.776
MF919499	155.034
MF919494	154.061
MF975638	57.385
MF668285	43.95
MF668276	68.056
MF140434	59.879
MF140427	59.707
MF140425	42.963
MF140424	44.045
MF140418	60.137
MF140407	43.562
MF140404	43.081
MF140400	43.914
MF319184	80.123
MF155947	68.324
KY965066	68.714
KU160653	43.707
KU160672	44.371
KU160640	43.075
KY676783	68.506
KY385383	69.082
KY385382	69.082
KY385380	69.082
KY224000	69.819
KY092484	40.785
KY092483	37.83
KY092482	38.496
KY092481	38.411
KY092480	39.522
KY092479	37.817
KX688103	43.977
KX688102	44.163
KX683293	68.492
KX683292	68.314
KX721256	155.565
KX721255	155.582
KX620786	69.037
KX648391	49.658
KX621005	43.607
KX621004	43.914
KX670813	68.493
KX592589	68.597
KX702319	68.938
KX576647	68.604
KX576646	68.637
KX576645	68.637
KX576641	42.944
KX576640	43.891
KX369585	69
KU998239	46.6
KU963263	53.717
KU963261	50.636
KU963260	43.982
KU963249	51.884
KU963246	47.88
KU958700	34.742
KU728633	77.832
KU647627	58.56
KU647626	58.871
KU530220	64.477
KT880194	67.509
KU160664	59.807
KU160662	44.259
KU160661	42.83
KU160659	43.374
KU160654	60.005
KU160652	44.183
KU160649	43.661
KU160645	44.389
KU160643	42.601
KU252585	53.182
KT599441	68.596
KT365402	67.349
KT364588	68.405
KT270441	71.214
KR997967	68.367
KR997932	67.277
KR816508	68.515
KR781349	68.227
KR080203	68.674
KR080200	72.109
KR080199	70.27
KR080194	72.139
KP876465	56.528
KP027208	68.328
KP027209	68.311
KP027197	68.716
KM363597	69.271
KM347890	68.873
KM408320	68.576
KJ829260	70.214
KJ567044	68.428
KJ595576	68.807
KJ538723	68.043
KJ538722	53.746
KJ194579	68.735
KJ194584	68.628
KJ194583	68.607
KJ194581	68.662
KJ194580	69.03
KJ174157	67.744
KF713485	68.262
KF493881	70.841
KF416341	70.115
KF017002	72.108
KC661274	67.702
JX182371	37.612
JN699017	68.839
JN699011	69.641
JN699008	68.494
JN698990	68.839
JN638753	68.307
JN638752	68.6
JN618996	67.169
JF704094	70.428
JN201525	106.327
JN192463	68.72
JN006064	69.118
JN006063	68.804
FJ641182	69.378
MW927519	35.988
MZ514874	53.211
MZ348424	171.207
MZ348423	174.783
MZ348422	253.74
MZ348421	76.232
MZ501055	39.466
MW927525	39.668
MW927524	39.482
MW927523	39.416
MW927522	42.027
MW927521	39.482
MW927520	41.143
MW927518	38.724
MW927517	37.997
MW927516	39.417
MW927515	42.083
MW927514	41.143
MW927513	39.67
MW927512	38.735
MW927511	37.997
AF009630	31.754
OK570375	111.068
OK570374	136.254
OL512807	6.658
OL441337	45.938
OK625527	45.839
OK624832	64.732
OK562670	42.318
OK562429	44.764
OK546191	41.496
MZ675741	50.929
OK490361	19.611
OK483342	85.494
OK490494	43.707
OK428602	144.654
OK412919	49.492
OV032902	320.253
OV032860	79.66
OK638203	85.479
OK638202	85.815
OK638201	85.609
OK663600	40.081
OK665842	59.762
OK665841	32.945
OK655936	50.247
OK913680	43.01
OK913679	42.912
OK210077	148.182
OK210076	84.075
OK210075	61.608
OK210074	39.418
LC644976	53.798
LC644975	53.192
LC644974	51.977
LC644973	50.652
LC644972	42.805
LC644971	34.1
MZ612110	15.134
OK138556	40.314
OK138555	48.841
OK094665	43.014
OK094664	47.902
MZ955867	73.001
MZ501113	166.861
MZ501112	60.09
MZ501111	140.659
MZ501110	58.342
MZ501109	114.488
MZ501108	114.179
MZ501107	43.627
MZ501106	166.115
MZ501105	110.821
MZ501104	60.068
MZ501103	107.08
MZ501102	137.38
MZ501101	47.775
MZ501100	150.425
MZ501099	51.285
MZ501098	170.053
MZ501097	44.55
MZ501096	167.732
MZ501095	44.882
MZ501094	135.061
MZ501093	136.346
MZ501092	50.192
MZ501091	58.567
MZ501090	51.474
MZ501089	167.832
MZ501088	43.104
MZ501087	47.731
MZ501086	87.1
MZ501085	49.715
MZ501084	144.831
MZ501083	135.602
MZ501082	135.63
MZ501081	39.842
MZ501080	47.149
MZ501079	51.129
MZ501078	39.451
MZ501077	49.911
MZ501076	115.446
MZ501075	112.239
MZ501074	111.607
MZ501073	136.906
MZ501072	114.196
MZ501071	56.589
MZ501070	44.295
MZ501069	51.777
MZ501068	59.834
MZ501067	165.574
MZ501066	169.509
MZ501065	164.714
MZ501064	39.315
MZ501063	146.666
MZ501062	139.98
MZ501061	131.526
MZ501060	138.24
MZ501059	50.731
MZ501058	113.532
MZ501057	58.073
MZ501056	169.031
MZ501054	137.623
MZ501053	49.298
MZ501052	167.411
MZ501051	50.126
MZ501050	168.255
MZ501049	70.849
MZ501048	135.345
MZ501046	166.773
MZ501047	168.968
MZ958750	134.92
MZ958749	41.847
MZ958746	66.42
MZ958744	58.768
MZ234053	169.519
MZ234051	169.415
MZ234050	44.294
MZ234049	44.293
MZ234047	40.193
MZ234046	40.193
MZ234045	40.193
MZ234044	40.193
MZ234043	169.448
MZ234042	169.416
MZ234041	169.499
MZ234040	168.649
MZ234039	168.522
MZ234038	167.867
MZ234037	168.524
MZ234036	168.524
MZ234035	167.839
MZ234034	168.524
MZ234033	51.299
MZ234032	44.471
MZ234031	167.922
MZ234030	168.543
MZ234028	77.359
MZ234027	168.577
MZ234025	168.667
MZ234024	39.375
MZ234023	39.899
MZ234022	39.845
MZ234021	40.233
MZ234020	44.526
MZ234019	44.526
MZ234018	167.08
MZ234017	75.747
MZ234016	45.251
MZ234014	44.971
MZ234013	169.555
MZ234012	44.45
MZ234011	40.482
MZ234010	45.176
MZ234009	39.133
MZ234008	45.019
MZ398021	47.333
MW258712	41.192
MW317014	6.014
OK905446	248.27
OK018184	168.362
MZ364294	4.136
MZ364293	4.26
MZ364292	4.267
MZ364291	4.315
MZ364290	4.322
MZ364289	4.329
MZ364288	4.329
MZ364287	4.144
MZ364286	4.343
MZ364285	4.415
MZ364284	4.447
MZ364283	4.333
MZ364282	4.14
MZ364281	4.506
MZ364280	4.48
MZ364279	4.559
MZ364278	4.534
MZ364277	4.539
MZ364276	4.548
MZ364275	4.554
MZ364274	4.566
MZ364273	4.572
MZ364272	4.687
MZ364271	4.662
MZ364270	4.694
MZ364269	4.693
MZ364268	4.72
MZ364267	4.717
MZ364266	4.58
MZ364265	4.726
MZ364264	4.673
MZ364263	4.75
MZ364262	4.745
MZ364261	4.67
MZ364260	4.767
MZ364259	4.771
MZ364258	4.724
MZ364257	4.491
MZ364256	4.642
MZ364255	4.811
MZ364254	4.763
MZ364253	4.776
MZ364252	4.291
MZ364251	4.162
MZ364250	4.963
MZ364249	4.964
MZ364248	4.642
MZ364247	4.854
MZ364246	4.623
MZ364245	4.932
MZ364244	4.681
MZ364243	4.529
MZ364242	4.561
MZ364241	4.812
MZ364240	4.603
MZ364239	4.289
MZ364238	4.403
MZ364237	4.642
MZ364236	4.288
MZ364235	4.389
MZ364234	4.499
MZ364233	4.567
MZ364232	4.686
MZ364231	4.466
MZ364230	4.474
MZ364229	4.32
MZ364228	4.718
MZ364227	4.364
MZ364226	4.78
MZ364225	4.384
MZ364224	4.384
MZ364223	4.722
MZ364222	4.731
OK041469	61.95
OK041468	14.8
OK041467	35.826
MZ622163	75.692
OK136181	54.435
OK136180	79.447
OK173051	41.257
MZ477002	93.604
MT178275	143.8
MN478483	160.795
MN316588	108.64
JX486087	38.002
JQ740813	32.384
JQ740789	32.023
JQ740788	32.582
JQ740787	32.414
JQ740804	31.772
EU340421	31.841
AY739900	31.08
FJ822135	142.111
DQ227763	30.51
AY682195	131.522
AY543070	121.75
AY236756	36.674
