genome,accession,target_name,query_name,E-value,description_of_target,genome_start,genome_end,strand,intronID,source
KY695241,PF09684.13,Tail_P2_I,orf13,0.00027,Phage tail protein (Tail_P2_I),1758,1908,+,KY695241_II_5,.domtblout
KY695241,PF16075.8,DUF4815,orf19,0.0095,Domain of unknown function (DUF4815),3511,3586,+,KY695241_II_5,.domtblout
KY695241,PF16075.8,DUF4815,orf22,1.1e-52,Domain of unknown function (DUF4815),3592,4132,+,KY695241_II_5,.domtblout
KY695241,PF16075.8,DUF4815,orf24,2.1000000000000003e-46,Domain of unknown function (DUF4815),4119,4599,+,KY695241_II_5,.domtblout
KY695241,PF16075.8,DUF4815,orf27,4.9e-40,Domain of unknown function (DUF4815),4653,5100,+,KY695241_II_5,.domtblout
KY695241,PF04965.17,GPW_gp25,orf3,9.300000000000001e-14,Baseplate wedge protein gp25,362,581,+,KY695241_II_5,.domtblout
KY695241,PF10934.11,DUF2634,orf3,2.4e-05,Protein of unknown function (DUF2634),335,572,+,KY695241_II_5,.domtblout
KY695241,PF07340.14,Herpes_IE1,orf52,0.006999999999999999,Cytomegalovirus IE1 protein,2913,2757,-,KY695241_II_5,.domtblout
KY695241,PF15033.9,Kinocilin,orf76,0.0024,Kinocilin protein,876,693,-,KY695241_II_5,.domtblout
KY695241,PF09133.13,SANTA,orf76,0.0098,SANTA (SANT Associated),813,648,-,KY695241_II_5,.domtblout
KY695241,PF04865.17,Baseplate_J,orf9,1.8e-18,Baseplate J-like protein,875,923,+,KY695241_II_5,.domtblout
KY695241,PF04865.17,Baseplate_J,orf9,1.8e-18,Baseplate J-like protein,923,1334,+,KY695241_II_5,.domtblout
LC680885,PF14311.9,DUF4379,orf15,2.6e-15,Probable Zinc-ribbon domain,192242,192335,+,LC680885_II_191679,.domtblout
LC680885,PF14311.9,DUF4379,orf15,2.6e-15,Probable Zinc-ribbon domain,192437,192527,+,LC680885_II_191679,.domtblout
LC680885,PF14311.9,DUF4379,orf15,2.6e-15,Probable Zinc-ribbon domain,192629,192725,+,LC680885_II_191679,.domtblout
LC680885,PF04560.23,RNA_pol_Rpb2_7,orf19,0.0033,"RNA polymerase Rpb2, domain 7",193638,193725,+,LC680885_II_191679,.domtblout
LC680885,PF17008.8,DUF5088,orf27,0.0035,Domain of unknown function (DUF5088),195136,195325,+,LC680885_II_191679,.domtblout
LC680885,PF00521.23,DNA_topoisoIV,orf4,1.1999999999999998e-56,"DNA gyrase/topoisomerase IV, subunit A",187540,188587,+,LC680885_II_191679,.domtblout
LC680885,PF00521.23,DNA_topoisoIV,orf4,1.1999999999999998e-56,"DNA gyrase/topoisomerase IV, subunit A",188893,189082,+,LC680885_II_191679,.domtblout
LC680885,PF00521.23,DNA_topoisoIV,orf4,1.1999999999999998e-56,"DNA gyrase/topoisomerase IV, subunit A",189274,189475,+,LC680885_II_191679,.domtblout
LC680885,PF14311.9,DUF4379,orf14,2.6e-15,Probable Zinc-ribbon domain,192242,192335,+,LC680885_II_193449,.domtblout
LC680885,PF14311.9,DUF4379,orf14,2.6e-15,Probable Zinc-ribbon domain,192437,192527,+,LC680885_II_193449,.domtblout
LC680885,PF14311.9,DUF4379,orf14,2.6e-15,Probable Zinc-ribbon domain,192629,192725,+,LC680885_II_193449,.domtblout
LC680885,PF04560.23,RNA_pol_Rpb2_7,orf18,0.0033,"RNA polymerase Rpb2, domain 7",193638,193725,+,LC680885_II_193449,.domtblout
LC680885,PF17008.8,DUF5088,orf26,0.0035,Domain of unknown function (DUF5088),195136,195325,+,LC680885_II_193449,.domtblout
LC680885,PF03989.16,DNA_gyraseA_C,orf3,7.5e-27,"DNA gyrase C-terminal domain, beta-propeller",188707,188809,+,LC680885_II_193449,.domtblout
LC680885,PF03989.16,DNA_gyraseA_C,orf3,7.5e-27,"DNA gyrase C-terminal domain, beta-propeller",188845,188914,+,LC680885_II_193449,.domtblout
LC680885,PF03989.16,DNA_gyraseA_C,orf3,7.5e-27,"DNA gyrase C-terminal domain, beta-propeller",189064,189133,+,LC680885_II_193449,.domtblout
LC680885,PF05816.14,TelA,orf36,9.6e-08,Toxic anion resistance protein (TelA),198347,198530,+,LC680885_II_193449,.domtblout
LC680885,PF08101.14,Msb1-Mug8_dom,orf36,2.3e-05,Meiotically up-regulated protein Msb1/Mug8 domain,198278,198473,+,LC680885_II_193449,.domtblout
MK448228,PF19016.3,DUF5745,orf122,0.0058,Domain of unknown function (DUF5745),2808,2727,-,MK448228_II_2653,.domtblout
MK448228,PF00078.30,RVT_1,orf138,2.8000000000000004e-49,Reverse transcriptase (RNA-dependent DNA polymerase),1919,1229,-,MK448228_II_2653,.domtblout
MK448228,PF00680.23,RdRP_1,orf138,3.2e-05,Viral RNA-dependent RNA polymerase,1784,1307,-,MK448228_II_2653,.domtblout
MK448228,PF11041.11,DUF2612,orf86,7.9e-48,Protein of unknown function (DUF2612),7642,7165,-,MK448228_II_2653,.domtblout
MK448731,PF00145.20,DNA_methylase,orf11,9.299999999999999e-88,C-5 cytosine-specific DNA methylase,8868,10173,+,MK448731_II_12382,.domtblout
MK448731,PF03819.20,MazG,orf17,0.0017,MazG nucleotide pyrophosphohydrolase domain,10662,10791,+,MK448731_II_12382,.domtblout
MK448731,PF09524.13,Phg_2220_C,orf2,3.3999999999999997e-31,Conserved phage C-terminus (Phg_2220_C),7780,7993,+,MK448731_II_12382,.domtblout
MK448731,PF07116.14,DUF1372,orf20,1.9e-45,Protein of unknown function (DUF1372),11066,11381,+,MK448731_II_12382,.domtblout
MK448731,PF11753.11,DUF3310,orf21,2.4e-22,Protein of unknwon function (DUF3310),11539,11716,+,MK448731_II_12382,.domtblout
MK448731,PF00436.28,SSB,orf25,5.4e-34,Single-strand binding protein family,11947,12247,+,MK448731_II_12382,.domtblout
MK448731,PF01336.28,tRNA_anti-codon,orf25,3.6000000000000003e-06,OB-fold nucleic acid binding domain,12076,12229,+,MK448731_II_12382,.domtblout
MK448731,PF16773.8,Phage_SSB,orf25,0.00018999999999999998,Lactococcus phage single-stranded DNA binding protein,11959,12061,+,MK448731_II_12382,.domtblout
MK448731,PF00078.30,RVT_1,orf36,1.2999999999999998e-43,Reverse transcriptase (RNA-dependent DNA polymerase),13238,13874,+,MK448731_II_12382,.domtblout
MK448731,PF08388.14,GIIM,orf36,7.100000000000001e-19,"Group II intron, maturase-specific domain",13940,14162,+,MK448731_II_12382,.domtblout
MK448731,PF08388.14,GIIM,orf36,7.100000000000001e-19,"Group II intron, maturase-specific domain",14183,14216,+,MK448731_II_12382,.domtblout
MK448731,PF07989.14,Cnn_1N,orf39,0.0073,Centrosomin N-terminal motif 1,14447,14564,+,MK448731_II_12382,.domtblout
MK448731,PF01381.25,HTH_3,orf41,5.4000000000000004e-12,Helix-turn-helix,14662,14821,+,MK448731_II_12382,.domtblout
MK448731,PF13560.9,HTH_31,orf41,1.5e-09,Helix-turn-helix domain,14659,14812,+,MK448731_II_12382,.domtblout
MK448731,PF12844.10,HTH_19,orf41,3.3e-09,Helix-turn-helix domain,14659,14824,+,MK448731_II_12382,.domtblout
MK448731,PF05263.14,DUF722,orf43,4.4e-06,Protein of unknown function (DUF722),14982,15111,+,MK448731_II_12382,.domtblout
MK448731,PF05263.14,DUF722,orf43,4.4e-06,Protein of unknown function (DUF722),15162,15405,+,MK448731_II_12382,.domtblout
MK448731,PF00589.25,Phage_integrase,orf48,1.7e-22,Phage integrase family,15595,16063,+,MK448731_II_12382,.domtblout
MK448731,PF01844.26,HNH,orf52,1.3999999999999999e-14,HNH endonuclease,16804,16954,+,MK448731_II_12382,.domtblout
MK448731,PF01695.20,IstB_IS21,orf6,1e-10,IstB-like ATP binding protein,8299,8806,+,MK448731_II_12382,.domtblout
MK448731,PF13401.9,AAA_22,orf6,0.0011,AAA domain,8392,8533,+,MK448731_II_12382,.domtblout
MK448731,PF00308.21,Bac_DnaA,orf6,0.0012,Bacterial dnaA  protein,8401,8761,+,MK448731_II_12382,.domtblout
MK448731,PF02673.21,BacA,orf74,0.0024,Bacitracin resistance protein BacA,15608,15488,-,MK448731_II_12382,.domtblout
MK448731,PF03819.20,MazG,orf10,0.0017,MazG nucleotide pyrophosphohydrolase domain,10662,10791,+,MK448731_II_14296,.domtblout
MK448731,PF07116.14,DUF1372,orf13,1.9e-45,Protein of unknown function (DUF1372),11066,11381,+,MK448731_II_14296,.domtblout
MK448731,PF11753.11,DUF3310,orf14,2.4e-22,Protein of unknwon function (DUF3310),11539,11716,+,MK448731_II_14296,.domtblout
MK448731,PF00436.28,SSB,orf18,5.4e-34,Single-strand binding protein family,11947,12247,+,MK448731_II_14296,.domtblout
MK448731,PF01336.28,tRNA_anti-codon,orf18,3.6000000000000003e-06,OB-fold nucleic acid binding domain,12076,12229,+,MK448731_II_14296,.domtblout
MK448731,PF16773.8,Phage_SSB,orf18,0.00018999999999999998,Lactococcus phage single-stranded DNA binding protein,11959,12061,+,MK448731_II_14296,.domtblout
MK448731,PF00078.30,RVT_1,orf29,1.2999999999999998e-43,Reverse transcriptase (RNA-dependent DNA polymerase),13238,13874,+,MK448731_II_14296,.domtblout
MK448731,PF08388.14,GIIM,orf29,7.100000000000001e-19,"Group II intron, maturase-specific domain",13940,14162,+,MK448731_II_14296,.domtblout
MK448731,PF08388.14,GIIM,orf29,7.100000000000001e-19,"Group II intron, maturase-specific domain",14183,14216,+,MK448731_II_14296,.domtblout
MK448731,PF07989.14,Cnn_1N,orf32,0.0073,Centrosomin N-terminal motif 1,14447,14564,+,MK448731_II_14296,.domtblout
MK448731,PF01381.25,HTH_3,orf34,5.4000000000000004e-12,Helix-turn-helix,14662,14821,+,MK448731_II_14296,.domtblout
MK448731,PF13560.9,HTH_31,orf34,1.5e-09,Helix-turn-helix domain,14659,14812,+,MK448731_II_14296,.domtblout
MK448731,PF12844.10,HTH_19,orf34,3.3e-09,Helix-turn-helix domain,14659,14824,+,MK448731_II_14296,.domtblout
MK448731,PF05263.14,DUF722,orf36,4.4e-06,Protein of unknown function (DUF722),14982,15111,+,MK448731_II_14296,.domtblout
MK448731,PF05263.14,DUF722,orf36,4.4e-06,Protein of unknown function (DUF722),15162,15405,+,MK448731_II_14296,.domtblout
MK448731,PF00145.20,DNA_methylase,orf4,3.9000000000000004e-27,C-5 cytosine-specific DNA methylase,9303,10173,+,MK448731_II_14296,.domtblout
MK448731,PF00589.25,Phage_integrase,orf41,1.7e-22,Phage integrase family,15595,16063,+,MK448731_II_14296,.domtblout
MK448731,PF01844.26,HNH,orf45,1.3999999999999999e-14,HNH endonuclease,16804,16954,+,MK448731_II_14296,.domtblout
MK448731,PF20441.1,TerL_nuclease,orf55,4.9000000000000003e-32,"Terminase large subunit, endonuclease domain",18431,19274,+,MK448731_II_14296,.domtblout
MK448731,PF03354.18,TerL_ATPase,orf55,5.2999999999999996e-20,"Terminase large subunit, ATPase domain",17687,17750,+,MK448731_II_14296,.domtblout
MK448731,PF03354.18,TerL_ATPase,orf55,5.2999999999999996e-20,"Terminase large subunit, ATPase domain",17930,18404,+,MK448731_II_14296,.domtblout
MK448731,PF02673.21,BacA,orf90,0.0024,Bacitracin resistance protein BacA,15608,15488,-,MK448731_II_14296,.domtblout
MK448781,PF09681.13,Phage_rep_org_N,orf14,1.7e-42,N-terminal phage replisome organiser (Phage_rep_org_N),6810,7158,+,MK448781_II_10016,.domtblout
MK448781,PF07261.14,DnaB_2,orf14,1.2e-16,Replication initiation and membrane attachment,6990,7023,+,MK448781_II_10016,.domtblout
MK448781,PF07261.14,DnaB_2,orf14,1.2e-16,Replication initiation and membrane attachment,7092,7143,+,MK448781_II_10016,.domtblout
MK448781,PF05565.14,Sipho_Gp157,orf24,7e-42,Siphovirus Gp157,8437,8905,+,MK448781_II_10016,.domtblout
MK448781,PF19556.2,PRTRC_E,orf24,0.00029,PRTRC system protein E,8473,8734,+,MK448781_II_10016,.domtblout
MK448781,PF04404.15,ERF,orf29,3.2999999999999997e-32,ERF superfamily,8941,9358,+,MK448781_II_10016,.domtblout
MK448781,PF04404.15,ERF,orf29,3.2999999999999997e-32,ERF superfamily,9415,9466,+,MK448781_II_10016,.domtblout
MK448781,PF00436.28,SSB,orf31,6.799999999999999e-36,Single-strand binding protein family,9581,9884,+,MK448781_II_10016,.domtblout
MK448781,PF01336.28,tRNA_anti-codon,orf31,6e-06,OB-fold nucleic acid binding domain,9716,9860,+,MK448781_II_10016,.domtblout
MK448781,PF16773.8,Phage_SSB,orf31,0.0046,Lactococcus phage single-stranded DNA binding protein,9764,9989,+,MK448781_II_10016,.domtblout
MK448781,PF00078.30,RVT_1,orf42,1.2999999999999998e-43,Reverse transcriptase (RNA-dependent DNA polymerase),10872,11508,+,MK448781_II_10016,.domtblout
MK448781,PF08388.14,GIIM,orf42,7.100000000000001e-19,"Group II intron, maturase-specific domain",11574,11796,+,MK448781_II_10016,.domtblout
MK448781,PF08388.14,GIIM,orf42,7.100000000000001e-19,"Group II intron, maturase-specific domain",11817,11850,+,MK448781_II_10016,.domtblout
MK448781,PF05866.14,RusA,orf48,1e-44,Endodeoxyribonuclease RusA,12240,12672,+,MK448781_II_10016,.domtblout
MK448781,PF03374.17,ANT,orf5,1.9e-29,Phage antirepressor protein KilAC domain,5528,5831,+,MK448781_II_10016,.domtblout
MK448781,PF08346.15,AntA,orf5,3.4e-24,AntA/AntB antirepressor,5177,5384,+,MK448781_II_10016,.domtblout
MK448781,PF08346.15,AntA,orf5,3.4e-24,AntA/AntB antirepressor,5414,5438,+,MK448781_II_10016,.domtblout
MK448781,PF19064.3,DUF5760,orf50,0.0051,Family of unknown function (DUF5760),12721,12892,+,MK448781_II_10016,.domtblout
MK448781,PF12033.11,DUF3519,orf50,0.0059,Protein of unknown function (DUF3519),12760,12886,+,MK448781_II_10016,.domtblout
MK448781,PF12033.11,DUF3519,orf50,0.0059,Protein of unknown function (DUF3519),12943,12991,+,MK448781_II_10016,.domtblout
MK448781,PF07659.14,DUF1599,orf51,2.3999999999999998e-11,Nucleotide modification associated domain 1,13035,13050,+,MK448781_II_10016,.domtblout
MK448781,PF07659.14,DUF1599,orf51,2.3999999999999998e-11,Nucleotide modification associated domain 1,13107,13287,+,MK448781_II_10016,.domtblout
MK448781,PF09643.13,YopX,orf54,6.4e-33,YopX protein,13484,13874,+,MK448781_II_10016,.domtblout
MK448781,PF07852.14,DUF1642,orf62,1.8000000000000001e-06,Protein of unknown function (DUF1642),15077,15185,+,MK448781_II_10016,.domtblout
MK448781,PF05565.14,Sipho_Gp157,orf13,7e-42,Siphovirus Gp157,8437,8905,+,MK448781_II_11930,.domtblout
MK448781,PF19556.2,PRTRC_E,orf13,0.00029,PRTRC system protein E,8473,8734,+,MK448781_II_11930,.domtblout
MK448781,PF04404.15,ERF,orf18,3.2999999999999997e-32,ERF superfamily,8941,9358,+,MK448781_II_11930,.domtblout
MK448781,PF04404.15,ERF,orf18,3.2999999999999997e-32,ERF superfamily,9415,9466,+,MK448781_II_11930,.domtblout
MK448781,PF00436.28,SSB,orf20,6.799999999999999e-36,Single-strand binding protein family,9581,9884,+,MK448781_II_11930,.domtblout
MK448781,PF01336.28,tRNA_anti-codon,orf20,6e-06,OB-fold nucleic acid binding domain,9716,9860,+,MK448781_II_11930,.domtblout
MK448781,PF16773.8,Phage_SSB,orf20,0.0046,Lactococcus phage single-stranded DNA binding protein,9764,9989,+,MK448781_II_11930,.domtblout
MK448781,PF09681.13,Phage_rep_org_N,orf3,1.2e-24,N-terminal phage replisome organiser (Phage_rep_org_N),6936,7158,+,MK448781_II_11930,.domtblout
MK448781,PF09681.13,Phage_rep_org_N,orf3,1.2e-24,N-terminal phage replisome organiser (Phage_rep_org_N),7194,7254,+,MK448781_II_11930,.domtblout
MK448781,PF09681.13,Phage_rep_org_N,orf3,1.2e-24,N-terminal phage replisome organiser (Phage_rep_org_N),7476,7497,+,MK448781_II_11930,.domtblout
MK448781,PF00078.30,RVT_1,orf31,1.2999999999999998e-43,Reverse transcriptase (RNA-dependent DNA polymerase),10872,11508,+,MK448781_II_11930,.domtblout
MK448781,PF08388.14,GIIM,orf31,7.100000000000001e-19,"Group II intron, maturase-specific domain",11574,11796,+,MK448781_II_11930,.domtblout
MK448781,PF08388.14,GIIM,orf31,7.100000000000001e-19,"Group II intron, maturase-specific domain",11817,11850,+,MK448781_II_11930,.domtblout
MK448781,PF05866.14,RusA,orf37,1e-44,Endodeoxyribonuclease RusA,12240,12672,+,MK448781_II_11930,.domtblout
MK448781,PF19064.3,DUF5760,orf39,0.0051,Family of unknown function (DUF5760),12721,12892,+,MK448781_II_11930,.domtblout
MK448781,PF12033.11,DUF3519,orf39,0.0059,Protein of unknown function (DUF3519),12760,12886,+,MK448781_II_11930,.domtblout
MK448781,PF12033.11,DUF3519,orf39,0.0059,Protein of unknown function (DUF3519),12943,12991,+,MK448781_II_11930,.domtblout
MK448781,PF07659.14,DUF1599,orf40,2.3999999999999998e-11,Nucleotide modification associated domain 1,13035,13050,+,MK448781_II_11930,.domtblout
MK448781,PF07659.14,DUF1599,orf40,2.3999999999999998e-11,Nucleotide modification associated domain 1,13107,13287,+,MK448781_II_11930,.domtblout
MK448781,PF09643.13,YopX,orf43,6.4e-33,YopX protein,13484,13874,+,MK448781_II_11930,.domtblout
MK448781,PF07852.14,DUF1642,orf52,3.9999999999999997e-32,Protein of unknown function (DUF1642),15077,15482,+,MK448781_II_11930,.domtblout
MK448781,PF07374.14,DUF1492,orf60,1.5e-14,Protein of unknown function (DUF1492),16249,16546,+,MK448781_II_11930,.domtblout
MK448781,PF10087.12,DUF2325,orf60,0.003,Uncharacterized protein conserved in bacteria (DUF2325),16333,16561,+,MK448781_II_11930,.domtblout
MK448888,PF09524.13,Phg_2220_C,orf11,1.1000000000000001e-30,Conserved phage C-terminus (Phg_2220_C),7082,7151,+,MK448888_II_10354,.domtblout
MK448888,PF09524.13,Phg_2220_C,orf11,1.1000000000000001e-30,Conserved phage C-terminus (Phg_2220_C),7268,7481,+,MK448888_II_10354,.domtblout
MK448888,PF12797.10,Fer4_2,orf132,0.0071,4Fe-4S binding domain,8198,8189,-,MK448888_II_10354,.domtblout
MK448888,PF12797.10,Fer4_2,orf132,0.0071,4Fe-4S binding domain,8171,8114,-,MK448888_II_10354,.domtblout
MK448888,PF01695.20,IstB_IS21,orf14,2.8999999999999997e-11,IstB-like ATP binding protein,7790,8294,+,MK448888_II_10354,.domtblout
MK448888,PF13401.9,AAA_22,orf14,1.2e-05,AAA domain,7880,8021,+,MK448888_II_10354,.domtblout
MK448888,PF13191.9,AAA_16,orf14,0.00029,AAA ATPase domain,7871,7988,+,MK448888_II_10354,.domtblout
MK448888,PF03819.20,MazG,orf19,0.0017,MazG nucleotide pyrophosphohydrolase domain,8634,8763,+,MK448888_II_10354,.domtblout
MK448888,PF07116.14,DUF1372,orf22,1.9e-45,Protein of unknown function (DUF1372),9038,9353,+,MK448888_II_10354,.domtblout
MK448888,PF11753.11,DUF3310,orf23,2.3e-22,Protein of unknwon function (DUF3310),9511,9688,+,MK448888_II_10354,.domtblout
MK448888,PF00436.28,SSB,orf27,5.4e-34,Single-strand binding protein family,9919,10219,+,MK448888_II_10354,.domtblout
MK448888,PF01336.28,tRNA_anti-codon,orf27,3.6000000000000003e-06,OB-fold nucleic acid binding domain,10048,10201,+,MK448888_II_10354,.domtblout
MK448888,PF16773.8,Phage_SSB,orf27,0.00018999999999999998,Lactococcus phage single-stranded DNA binding protein,9931,10033,+,MK448888_II_10354,.domtblout
MK448888,PF00078.30,RVT_1,orf38,1.2999999999999998e-43,Reverse transcriptase (RNA-dependent DNA polymerase),11210,11846,+,MK448888_II_10354,.domtblout
MK448888,PF08388.14,GIIM,orf38,7.100000000000001e-19,"Group II intron, maturase-specific domain",11912,12134,+,MK448888_II_10354,.domtblout
MK448888,PF08388.14,GIIM,orf38,7.100000000000001e-19,"Group II intron, maturase-specific domain",12155,12188,+,MK448888_II_10354,.domtblout
MK448888,PF07989.14,Cnn_1N,orf41,0.0073,Centrosomin N-terminal motif 1,12419,12536,+,MK448888_II_10354,.domtblout
MK448888,PF01381.25,HTH_3,orf43,5.4000000000000004e-12,Helix-turn-helix,12634,12793,+,MK448888_II_10354,.domtblout
MK448888,PF13560.9,HTH_31,orf43,1.5e-09,Helix-turn-helix domain,12631,12784,+,MK448888_II_10354,.domtblout
MK448888,PF12844.10,HTH_19,orf43,3.3e-09,Helix-turn-helix domain,12631,12796,+,MK448888_II_10354,.domtblout
MK448888,PF05263.14,DUF722,orf45,4.4e-06,Protein of unknown function (DUF722),12954,13083,+,MK448888_II_10354,.domtblout
MK448888,PF05263.14,DUF722,orf45,4.4e-06,Protein of unknown function (DUF722),13134,13377,+,MK448888_II_10354,.domtblout
MK448888,PF03796.18,DnaB_C,orf5,1.0999999999999999e-112,DnaB-like helicase C terminal domain,5417,6185,+,MK448888_II_10354,.domtblout
MK448888,PF13481.9,AAA_25,orf5,2.4e-16,AAA domain,5438,5954,+,MK448888_II_10354,.domtblout
MK448888,PF06745.16,ATPase,orf5,1e-05,KaiC,5420,5621,+,MK448888_II_10354,.domtblout
MK448888,PF00589.25,Phage_integrase,orf50,1.7e-22,Phage integrase family,13567,14035,+,MK448888_II_10354,.domtblout
MK448888,PF01844.26,HNH,orf54,1.3999999999999999e-14,HNH endonuclease,14776,14926,+,MK448888_II_10354,.domtblout
MK448888,PF00046.32,Homeodomain,orf58,0.0093,Homeodomain,15199,15301,+,MK448888_II_10354,.domtblout
MK448888,PF00046.32,Homeodomain,orf58,0.0093,Homeodomain,15361,15400,+,MK448888_II_10354,.domtblout
MK448888,PF02673.21,BacA,orf76,0.0024,Bacitracin resistance protein BacA,13580,13460,-,MK448888_II_10354,.domtblout
MK448888,PF03819.20,MazG,orf10,0.0017,MazG nucleotide pyrophosphohydrolase domain,8634,8763,+,MK448888_II_12268,.domtblout
MK448888,PF07116.14,DUF1372,orf13,1.9e-45,Protein of unknown function (DUF1372),9038,9353,+,MK448888_II_12268,.domtblout
MK448888,PF11753.11,DUF3310,orf14,2.3e-22,Protein of unknwon function (DUF3310),9511,9688,+,MK448888_II_12268,.domtblout
MK448888,PF12797.10,Fer4_2,orf145,0.0071,4Fe-4S binding domain,8198,8189,-,MK448888_II_12268,.domtblout
MK448888,PF12797.10,Fer4_2,orf145,0.0071,4Fe-4S binding domain,8171,8114,-,MK448888_II_12268,.domtblout
MK448888,PF00436.28,SSB,orf18,5.4e-34,Single-strand binding protein family,9919,10219,+,MK448888_II_12268,.domtblout
MK448888,PF01336.28,tRNA_anti-codon,orf18,3.6000000000000003e-06,OB-fold nucleic acid binding domain,10048,10201,+,MK448888_II_12268,.domtblout
MK448888,PF16773.8,Phage_SSB,orf18,0.00018999999999999998,Lactococcus phage single-stranded DNA binding protein,9931,10033,+,MK448888_II_12268,.domtblout
MK448888,PF09524.13,Phg_2220_C,orf2,2.8999999999999995e-30,Conserved phage C-terminus (Phg_2220_C),7274,7481,+,MK448888_II_12268,.domtblout
MK448888,PF00078.30,RVT_1,orf29,1.2999999999999998e-43,Reverse transcriptase (RNA-dependent DNA polymerase),11210,11846,+,MK448888_II_12268,.domtblout
MK448888,PF08388.14,GIIM,orf29,7.100000000000001e-19,"Group II intron, maturase-specific domain",11912,12134,+,MK448888_II_12268,.domtblout
MK448888,PF08388.14,GIIM,orf29,7.100000000000001e-19,"Group II intron, maturase-specific domain",12155,12188,+,MK448888_II_12268,.domtblout
MK448888,PF07989.14,Cnn_1N,orf32,0.0073,Centrosomin N-terminal motif 1,12419,12536,+,MK448888_II_12268,.domtblout
MK448888,PF01381.25,HTH_3,orf34,5.4000000000000004e-12,Helix-turn-helix,12634,12793,+,MK448888_II_12268,.domtblout
MK448888,PF13560.9,HTH_31,orf34,1.5e-09,Helix-turn-helix domain,12631,12784,+,MK448888_II_12268,.domtblout
MK448888,PF12844.10,HTH_19,orf34,3.3e-09,Helix-turn-helix domain,12631,12796,+,MK448888_II_12268,.domtblout
MK448888,PF05263.14,DUF722,orf36,4.4e-06,Protein of unknown function (DUF722),12954,13083,+,MK448888_II_12268,.domtblout
MK448888,PF05263.14,DUF722,orf36,4.4e-06,Protein of unknown function (DUF722),13134,13377,+,MK448888_II_12268,.domtblout
MK448888,PF00589.25,Phage_integrase,orf41,1.7e-22,Phage integrase family,13567,14035,+,MK448888_II_12268,.domtblout
MK448888,PF01844.26,HNH,orf45,1.3999999999999999e-14,HNH endonuclease,14776,14926,+,MK448888_II_12268,.domtblout
MK448888,PF01695.20,IstB_IS21,orf5,2.8999999999999997e-11,IstB-like ATP binding protein,7790,8294,+,MK448888_II_12268,.domtblout
MK448888,PF13401.9,AAA_22,orf5,1.2e-05,AAA domain,7880,8021,+,MK448888_II_12268,.domtblout
MK448888,PF13191.9,AAA_16,orf5,0.00029,AAA ATPase domain,7871,7988,+,MK448888_II_12268,.domtblout
MK448888,PF20441.1,TerL_nuclease,orf55,4.9000000000000003e-32,"Terminase large subunit, endonuclease domain",16403,17246,+,MK448888_II_12268,.domtblout
MK448888,PF03354.18,TerL_ATPase,orf55,5.2999999999999996e-20,"Terminase large subunit, ATPase domain",15659,15722,+,MK448888_II_12268,.domtblout
MK448888,PF03354.18,TerL_ATPase,orf55,5.2999999999999996e-20,"Terminase large subunit, ATPase domain",15902,16376,+,MK448888_II_12268,.domtblout
MK448888,PF02673.21,BacA,orf89,0.0024,Bacitracin resistance protein BacA,13580,13460,-,MK448888_II_12268,.domtblout
MN091626,PF18075.4,FtsX_ECD,orf10,0.0051,FtsX extracellular domain,48806,48959,+,MN091626_II_50175,.domtblout
MN091626,PF18075.4,FtsX_ECD,orf10,0.0051,FtsX extracellular domain,49943,50081,+,MN091626_II_50175,.domtblout
MN091626,PF04560.23,RNA_pol_Rpb2_7,orf16,0.0033,"RNA polymerase Rpb2, domain 7",50797,50884,+,MN091626_II_50175,.domtblout
MN091626,PF17008.8,DUF5088,orf25,0.0013,Domain of unknown function (DUF5088),52295,52487,+,MN091626_II_50175,.domtblout
MN091626,PF00521.23,DNA_topoisoIV,orf4,1.1999999999999998e-56,"DNA gyrase/topoisomerase IV, subunit A",46033,47080,+,MN091626_II_50175,.domtblout
MN091626,PF00521.23,DNA_topoisoIV,orf4,1.1999999999999998e-56,"DNA gyrase/topoisomerase IV, subunit A",47386,47575,+,MN091626_II_50175,.domtblout
MN091626,PF00521.23,DNA_topoisoIV,orf4,1.1999999999999998e-56,"DNA gyrase/topoisomerase IV, subunit A",47767,47968,+,MN091626_II_50175,.domtblout
MN091626,PF04560.23,RNA_pol_Rpb2_7,orf15,0.0033,"RNA polymerase Rpb2, domain 7",50797,50884,+,MN091626_II_50608,.domtblout
MN091626,PF17008.8,DUF5088,orf24,0.0013,Domain of unknown function (DUF5088),52295,52487,+,MN091626_II_50608,.domtblout
MN091626,PF00521.23,DNA_topoisoIV,orf3,8.5e-57,"DNA gyrase/topoisomerase IV, subunit A",46033,47080,+,MN091626_II_50608,.domtblout
MN091626,PF00521.23,DNA_topoisoIV,orf3,8.5e-57,"DNA gyrase/topoisomerase IV, subunit A",47386,47575,+,MN091626_II_50608,.domtblout
MN091626,PF00521.23,DNA_topoisoIV,orf3,8.5e-57,"DNA gyrase/topoisomerase IV, subunit A",47767,47968,+,MN091626_II_50608,.domtblout
MN091626,PF05816.14,TelA,orf33,9.800000000000001e-06,Toxic anion resistance protein (TelA),55532,55679,+,MN091626_II_50608,.domtblout
MN091626,PF08101.14,Msb1-Mug8_dom,orf33,1.9e-05,Meiotically up-regulated protein Msb1/Mug8 domain,55463,55649,+,MN091626_II_50608,.domtblout
MN091626,PF18075.4,FtsX_ECD,orf9,0.0051,FtsX extracellular domain,48806,48959,+,MN091626_II_50608,.domtblout
